ignore_masked,example,example_masked,intent
,What percentage will my insurance pay of this procedure?,What percentage will my insurance pay of this procedure?,benefit_coverage
,How much will I pay out of pocket for an abdominal ultrasound?,How much will I pay out of pocket for an abdominal ultrasound?,benefit_coverage
,How much will I pay out of pocket for an MASKING_PROCEDURE_NAME_1?,How much will I pay out of pocket for an MASKING_PROCEDURE_NAME_1?,benefit_coverage
,How much will I owe for a certain procedure?,How much will I owe for a certain procedure?,benefit_coverage
,How much will I have to pay to get my wisdom teeth removed?,How much will I have to pay to get my wisdom teeth removed?,benefit_coverage
,How much will I have to pay to get my MASKING_PROCEDURE_NAME_1?,How much will I have to pay to get my MASKING_PROCEDURE_NAME_1?,benefit_coverage
,How much will I have to pay out of pocket for lab work?,How much will I have to pay out of pocket for lab work?,benefit_coverage
,How much will I have to pay out of pocket for an MRI?,How much will I have to pay out of pocket for an MRI?,benefit_coverage
,How much will I have to pay out of pocket for MASKING_MEDICAL_CONDITION_1 work?,How much will I have to pay out of pocket for MASKING_MEDICAL_CONDITION_1 work?,benefit_coverage
,How much out of pocket costs will I have to pay for an x-ray?,How much out of pocket costs will I have to pay for an x-ray?,benefit_coverage
,How much out of pocket costs will I have to pay for an MASKING_PROCEDURE_NAME_1?,How much out of pocket costs will I have to pay for an MASKING_PROCEDURE_NAME_1?,benefit_coverage
,Are glasses covered?,Are glasses covered?,benefit_coverage
,Are eye exams included in my insurance?,Are eye exams included in my insurance?,benefit_coverage
,Are dental xrays covered with my medical imaging insurance?,Are dental xrays covered with my medical imaging insurance?,benefit_coverage
,How much of my MRI scan will you cover?,How much of my MRI scan will you cover?,benefit_coverage
,Where can I get a new insulin pump?,Where can I get a new insulin pump?,benefit_coverage
,What kind of doctor do I need to see to have my strep test covered by Insurance?,What kind of doctor do I need to see to have my strep test covered by Insurance?,benefit_coverage
,what will my coverage pay for the rehab my doctor recommended?,what will my coverage pay for the rehab my doctor recommended?,benefit_coverage
,what will my coverage pay for the MASKING_PROVIDER_SPECIALTY_1 my MASKING_PROFESSIONAL_GROUP_1 recommended?,what will my coverage pay for the MASKING_PROVIDER_SPECIALTY_1 my MASKING_PROFESSIONAL_GROUP_1 recommended?,benefit_coverage
,How much can I claim back for a gp visit?,How much can I claim back for a gp visit?,benefit_coverage
,How much can I claim back for a gp MASKING_PROCEDURE_NAME_1?,How much can I claim back for a gp MASKING_PROCEDURE_NAME_1?,benefit_coverage
,How much am I covered for massages?,How much am I covered for massages?,benefit_coverage
,How much am I covered for MASKING_PROCEDURE_NAME_1?,How much am I covered for MASKING_PROCEDURE_NAME_1?,benefit_coverage
,How many PT sessions are covered? What is my copay for PT?,How many PT sessions are covered? What is my copay for PT?,benefit_coverage
,do I have MASKING_PROCEDURE_NAME_1 coverage as a benefit? My MASKING_DEPENDENT_RELATIONSHIP_1 will need this,do I have MASKING_PROCEDURE_NAME_1 coverage as a benefit? My MASKING_DEPENDENT_RELATIONSHIP_1 will need this,benefit_coverage
,can i have a colonoscopy,can i have a colonoscopy,benefit_coverage
,can i have a MASKING_PROCEDURE_NAME_1,can i have a MASKING_PROCEDURE_NAME_1,benefit_coverage
,can i get a new hip?,can i get a new hip?,benefit_coverage
,I've just dicovered that I'm pregnant and want to see what maternity care is available to me on my current plan.,I've just dicovered that I'm pregnant and want to see what maternity care is available to me on my current plan.,benefit_coverage
,I've just dicovered that I'm pregnant and want to see what MASKING_PROVIDER_SPECIALTY_1 is available to me on my current plan.,I've just dicovered that I'm pregnant and want to see what MASKING_PROVIDER_SPECIALTY_1 is available to me on my current plan.,benefit_coverage
,Are the MASKING_PROCEDURE_NAME_1 for MASKING_MEDICAL_CONDITION_1 covered? How much do I have to pay to get a new one? The one I have is old so I should probably replace it,Are the MASKING_PROCEDURE_NAME_1 for MASKING_MEDICAL_CONDITION_1 covered? How much do I have to pay to get a new one? The one I have is old so I should probably replace it,benefit_coverage
,Does my insurance cover an MRI?,Does my insurance cover an MRI?,benefit_coverage
,Does my insurance cover an MASKING_PROCEDURE_NAME_1?,Does my insurance cover an MASKING_PROCEDURE_NAME_1?,benefit_coverage
,Does my insurance cover MASKING_PROCEDURE_NAME_1?,Does my insurance cover MASKING_PROCEDURE_NAME_1?,benefit_coverage
,Does my health insurance cover cosmetic treatments at the dermatologist?,Does my health insurance cover cosmetic treatments at the dermatologist?,benefit_coverage
,Does my health insurance cover cavity fillings at the dentist?,Does my health insurance cover cavity fillings at the dentist?,benefit_coverage
,Does my health insurance cover a dermatologist?,Does my health insurance cover a dermatologist?,benefit_coverage
,Does my MASKING_PROCEDURE_NAME_1 have to be with an RMT for it to be covered?,Does my MASKING_PROCEDURE_NAME_1 have to be with an RMT for it to be covered?,benefit_coverage
,Does my MASKING_PROCEDURE_NAME_1 cover a MASKING_PROVIDER_SPECIALTY_1?,Does my MASKING_PROCEDURE_NAME_1 cover a MASKING_PROVIDER_SPECIALTY_1?,benefit_coverage
,Does my MASKING_PROCEDURE_NAME_1 cover MASKING_PROCEDURE_NAME_6 MASKING_PROCEDURE_NAME_3 at the MASKING_PROVIDER_SPECIALTY_1?,Does my MASKING_PROCEDURE_NAME_1 cover MASKING_PROCEDURE_NAME_6 MASKING_PROCEDURE_NAME_3 at the MASKING_PROVIDER_SPECIALTY_1?,benefit_coverage
,Does my MASKING_PROCEDURE_NAME_1 cover MASKING_MEDICAL_CONDITION_1 fillings at the MASKING_PROFESSIONAL_GROUP_1?,Does my MASKING_PROCEDURE_NAME_1 cover MASKING_MEDICAL_CONDITION_1 fillings at the MASKING_PROFESSIONAL_GROUP_1?,benefit_coverage
,What are my benefits when it comes to Flu Vaccines?,What are my benefits when it comes to Flu Vaccines?,benefit_coverage
,What MASKING_PROCEDURE_NAME_3 are covered under a MASKING_PROCEDURE_NAME_1?,What MASKING_PROCEDURE_NAME_3 are covered under a MASKING_PROCEDURE_NAME_1?,benefit_coverage
,What MASKING_PROCEDURE_NAME_1 does my policy cover?,What MASKING_PROCEDURE_NAME_1 does my policy cover?,benefit_coverage
,Want to get MRI by Dr. Rumancik,Want to get MRI by Dr. Rumancik,benefit_coverage
,Want to get MASKING_PROCEDURE_NAME_1 by Dr. MASKING_PERSON_NAME_1,Want to get MASKING_PROCEDURE_NAME_1 by Dr. MASKING_PERSON_NAME_1,benefit_coverage
,"Under my present insurance, can I get a nuchal translucency scan","Under my present insurance, can I get a nuchal translucency scan",benefit_coverage
,"Under my present insurance, can I get a MASKING_PROCEDURE_NAME_1","Under my present insurance, can I get a MASKING_PROCEDURE_NAME_1",benefit_coverage
,How much will an eye check up cost,How much will an eye check up cost,benefit_coverage
,Am I covered for anything?,Am I covered for anything?,benefit_coverage
,Am I elegible to have a MASKING_PROCEDURE_NAME_1?,Am I elegible to have a MASKING_PROCEDURE_NAME_1?,benefit_coverage
,Am I elegible to have a total knee replacement?,Am I elegible to have a total knee replacement?,benefit_coverage
,Am I eligible for my MASKING_PROCEDURE_NAME_1 MASKING_PROCEDURE_NAME_2?,Am I eligible for my MASKING_PROCEDURE_NAME_1 MASKING_PROCEDURE_NAME_2?,benefit_coverage
,Do you cover mental health benefits?,Do you cover mental health benefits?,benefit_coverage
,Do I have to pay for flu shots or are they covered?,Do I have to pay for flu shots or are they covered?,benefit_coverage
,MASKING_PROVIDER_SPECIALTY_1,MASKING_PROVIDER_SPECIALTY_1,benefit_coverage
,My MASKING_DEPENDENT_RELATIONSHIP_1 has been MASKING_PROCEDURE_NAME_1.  Is it a covered benefit?,My MASKING_DEPENDENT_RELATIONSHIP_1 has been MASKING_PROCEDURE_NAME_1.  Is it a covered benefit?,benefit_coverage
,My MASKING_DEPENDENT_RELATIONSHIP_1 is MASKING_NUMBER_a months pregnant. Does she qualify to get a MASKING_PROCEDURE_NAME_1?,My MASKING_DEPENDENT_RELATIONSHIP_1 is MASKING_NUMBER_a months pregnant. Does she qualify to get a MASKING_PROCEDURE_NAME_1?,benefit_coverage
,My MASKING_DEPENDENT_RELATIONSHIP_1 is MASKING_NUMBER_a.  Are his well MASKING_PROCEDURE_NAME_1 still covered by my insurance?,My MASKING_DEPENDENT_RELATIONSHIP_1 is MASKING_NUMBER_a.  Are his well MASKING_PROCEDURE_NAME_1 still covered by my insurance?,benefit_coverage
,My MASKING_DEPENDENT_RELATIONSHIP_1 is considering MASKING_PROVIDER_SPECIALTY_1,My MASKING_DEPENDENT_RELATIONSHIP_1 is considering MASKING_PROVIDER_SPECIALTY_1,benefit_coverage
,Can I get an MASKING_PROCEDURE_NAME_1?,Can I get an MASKING_PROCEDURE_NAME_1?,benefit_coverage
,how much is remaining in my deductible?,how much is remaining in my deductible?,deductible_oop_inquiry
,How much did I pay out-of-pocket in 2017?,How much did I pay out-of-pocket in 2017?,deductible_oop_inquiry
,How much is left on my deductible?,How much is left on my deductible?,deductible_oop_inquiry
,"I have a high deductible MASKING_PROCEDURE_NAME_1 policy with HSA, how much is the MASKING_DEPENDENT_RELATIONSHIP_1 deductible for this year?","I have a high deductible MASKING_PROCEDURE_NAME_1 policy with HSA, how much is the MASKING_DEPENDENT_RELATIONSHIP_1 deductible for this year?",deductible_oop_inquiry
,does the co-pay for MASKING_PROCEDURE_NAME_1 count towards my deductible?,does the co-pay for MASKING_PROCEDURE_NAME_1 count towards my deductible?,deductible_oop_inquiry
,MASKING_PROCEDURE_NAME_1 met his individual annual deductible?,MASKING_PROCEDURE_NAME_1 met his individual annual deductible?,deductible_oop_inquiry
,How much is my deductible?,How much is my deductible?,deductible_oop_inquiry
,What's the out of pocket maximum on my personal insurance plan?,What's the out of pocket maximum on my personal insurance plan?,deductible_oop_inquiry
,What is my coinsurance out of pocket maximum?,What is my coinsurance out of pocket maximum?,deductible_oop_inquiry
,How much did I pay out-of-pocket in MASKING_NUMBER_a?,How much did I pay out-of-pocket in MASKING_NUMBER_a?,deductible_oop_inquiry
,Is there an individual deductible maximum within our family deductible amount?,Is there an individual deductible maximum within our family deductible amount?,deductible_oop_inquiry
,how much of my deductible is remaining?,how much of my deductible is remaining?,deductible_oop_inquiry
,I want to know if I have met my deductible yet this year.,I want to know if I have met my deductible yet this year.,deductible_oop_inquiry
,what is my out-of-pocket-maximum for this year?,what is my out-of-pocket-maximum for this year?,deductible_oop_inquiry
,"Currently, how much of my deductible and my family deductible threshold amounts are satisfied for this year?","Currently, how much of my deductible and my family deductible threshold amounts are satisfied for this year?",deductible_oop_inquiry
,"Currently, how much of my deductible and my MASKING_DEPENDENT_RELATIONSHIP_1 deductible threshold amounts are satisfied for this year?","Currently, how much of my deductible and my MASKING_DEPENDENT_RELATIONSHIP_1 deductible threshold amounts are satisfied for this year?",deductible_oop_inquiry
,How much is my out of pocket maximum?,How much is my out of pocket maximum?,deductible_oop_inquiry
,How close to my deductible am I?,How close to my deductible am I?,deductible_oop_inquiry
,Have I reached my annual deductible yet?,Have I reached my annual deductible yet?,deductible_oop_inquiry
,What are my deductibles?,What are my deductibles?,deductible_oop_inquiry
,Has my child met his individual annual deductible?,Has my child met his individual annual deductible?,deductible_oop_inquiry
,How much more do I have to spend to meet the deductible of my high-deductible plan?,How much more do I have to spend to meet the deductible of my high-deductible plan?,deductible_oop_inquiry
,Can you tell me if my deductible has been met on my insurance ?,Can you tell me if my deductible has been met on my insurance ?,deductible_oop_inquiry
,how do i know if i met my detectible,how do i know if i met my detectible,deductible_oop_inquiry
,Will the cost of this service exhaust my deductible?,Will the cost of this service exhaust my deductible?,deductible_oop_inquiry
,Is there an individual deductible maximum within our MASKING_DEPENDENT_RELATIONSHIP_1 deductible amount?,Is there an individual deductible maximum within our MASKING_DEPENDENT_RELATIONSHIP_1 deductible amount?,deductible_oop_inquiry
,How much of my deductible do I have left?,How much of my deductible do I have left?,deductible_oop_inquiry
,What is my out of pocket maximum?,What is my out of pocket maximum?,deductible_oop_inquiry
,Where am I relative to my out of pocket max?,Where am I relative to my out of pocket max?,deductible_oop_inquiry
,"What happens when I exceed my ""Annual Deductible""?","What happens when I exceed my ""Annual Deductible""?",deductible_oop_inquiry
,"I have a high deductible health insurance policy with HSA, how much is the family deductible for this year?","I have a high deductible health insurance policy with HSA, how much is the family deductible for this year?",deductible_oop_inquiry
,MASKING_PERSON_NAME_1 the cost of this service MASKING_MEDICAL_CONDITION_1 my deductible?,MASKING_PERSON_NAME_1 the cost of this service MASKING_MEDICAL_CONDITION_1 my deductible?,deductible_oop_inquiry
,What is my MASKING_DEPENDENT_RELATIONSHIP_1 deductible?,What is my MASKING_DEPENDENT_RELATIONSHIP_1 deductible?,deductible_oop_inquiry
,How much of my annual deductible have I met?,How much of my annual deductible have I met?,deductible_oop_inquiry
,Where am I on hitting my deductible?,Where am I on hitting my deductible?,deductible_oop_inquiry
,What is my family deductible?,What is my family deductible?,deductible_oop_inquiry
,How close am I to hitting my deductible?,How close am I to hitting my deductible?,deductible_oop_inquiry
,How much do I have left until I hit my deductible?,How much do I have left until I hit my deductible?,deductible_oop_inquiry
,What is my deductible?,What is my deductible?,deductible_oop_inquiry
,does the co-pay for office visit count towards my deductible?,does the co-pay for office visit count towards my deductible?,deductible_oop_inquiry
,Hi! I wanted to know how much is my deductible?,Hi! I wanted to know how much is my deductible?,deductible_oop_inquiry
,What is my deductible for in-network?,What is my deductible for in-network?,deductible_oop_inquiry
,Have I met my deductible?,Have I met my deductible?,deductible_oop_inquiry
,I'm not sure what option to take,I'm not sure what option to take,dont_know_yet_maybe
,unknown,unknown,dont_know_yet_maybe
,Maybe I will choose X option,Maybe I will choose X option,dont_know_yet_maybe
,I haven't decided yet,I haven't decided yet,dont_know_yet_maybe
,I don't know,I don't know,dont_know_yet_maybe
,no idea,no idea,dont_know_yet_maybe
,Both options seems relevant,Both options seems relevant,dont_know_yet_maybe
,I can not choose now,I can not choose now,dont_know_yet_maybe
,Cool,Cool,exclaimation_positive
,"good, thanks","good, thanks",exclaimation_positive
,Super,Super,exclaimation_positive
,this is awesome,this is awesome,exclaimation_positive
,cool beans,cool beans,exclaimation_positive
,thx,thx,exclaimation_positive
,Awesome,Awesome,exclaimation_positive
,"thanks, good","thanks, good",exclaimation_positive
,wonderful,wonderful,exclaimation_positive
,alright,alright,exclaimation_positive
,terrific,terrific,exclaimation_positive
,i love this,i love this,exclaimation_positive
,amazing!,amazing!,exclaimation_positive
,"i can, just one sec","i can, just one sec",exclaimation_positive
,thats cute,thats cute,exclaimation_positive
,incredible,incredible,exclaimation_positive
,that would be great,that would be great,exclaimation_positive
,excellent,excellent,exclaimation_positive
,adorable,adorable,exclaimation_positive
,thank you,thank you,exclaimation_positive
,it didnt work,it didnt work,exclamation_negative
,wrong answer,wrong answer,exclamation_negative
,there is an error,there is an error,exclamation_negative
,ugh. annoyed,ugh. annoyed,exclamation_negative
,you are not right,you are not right,exclamation_negative
,that sucks,that sucks,exclamation_negative
,shit,shit,exclamation_negative
,absolutely not,absolutely not,exclamation_negative
,you are wrong,you are wrong,exclamation_negative
,that did not work,that did not work,exclamation_negative
,I dont think so,I dont think so,exclamation_negative
,very disapointing to hear that,very disapointing to hear that,feelings_bad
,horrible!,horrible!,feelings_bad
,not great,not great,feelings_bad
,not too great,not too great,feelings_bad
,really bad,really bad,feelings_bad
,shitty,shitty,feelings_bad
,not doing good,not doing good,feelings_bad
,i am not happy,i am not happy,feelings_bad
,not so good,not so good,feelings_bad
,not too goo,not too goo,feelings_bad
,unwell,unwell,feelings_bad
,bad,bad,feelings_bad
,im unhappy,im unhappy,feelings_bad
,this is awful,this is awful,feelings_bad
,this sucks,this sucks,feelings_bad
,not too good...,not too good...,feelings_bad
,not okay,not okay,feelings_bad
,awful,awful,feelings_bad
,im quite dissapointed,im quite dissapointed,feelings_bad
,crappy,crappy,feelings_bad
,im sad,im sad,feelings_bad
,ive had better days,ive had better days,feelings_bad
,i hate you,i hate you,feelings_bad
,sucks,sucks,feelings_bad
,not doing well,not doing well,feelings_bad
,not good,not good,feelings_bad
,ive been better,ive been better,feelings_bad
,this is the worst,this is the worst,feelings_bad
,terrible,terrible,feelings_bad
,not well,not well,feelings_bad
,that's dissapointing,that's dissapointing,feelings_bad
,the worst!,the worst!,feelings_bad
,not the best,not the best,feelings_bad
,this is frustrating,this is frustrating,feelings_bad
,poor,poor,feelings_bad
,great,great,feelings_good
,can't complain,can't complain,feelings_good
,goo,goo,feelings_good
,pretty great,pretty great,feelings_good
,pretty good,pretty good,feelings_good
,not bad,not bad,feelings_good
,really good,really good,feelings_good
,well,well,feelings_good
,not too bad,not too bad,feelings_good
,no complaints,no complaints,feelings_good
,im happy,im happy,feelings_good
,good,good,feelings_good
,goo u,goo u,feelings_good
,I'm doing well,I'm doing well,feelings_good
,pretty well,pretty well,feelings_good
,cooooooooooooool,cooooooooooooool,feelings_good
,good goo,good goo,feelings_good
,I need to go to MASKING_PROCEDURE_NAME_1 what is my coverage,I need to go to MASKING_PROCEDURE_NAME_1 what is my coverage,medical_emergency
,Do I have to MASKING_PROCEDURE_NAME_4 you before going to MASKING_PROCEDURE_NAME_1?,Do I have to MASKING_PROCEDURE_NAME_4 you before going to MASKING_PROCEDURE_NAME_1?,medical_emergency
,"Help, I'm out of town and am injured. Who should I see?","Help, I'm out of town and am injured. Who should I see?",medical_emergency
,Do I have to inform you before going to emergency care?,Do I have to inform you before going to emergency care?,medical_emergency
,I have an MASKING_PROCEDURE_NAME_1...,I have an MASKING_PROCEDURE_NAME_1...,medical_emergency
,I'm having severe pain in the belly. Can I go to ER?,I'm having severe pain in the belly. Can I go to ER?,medical_emergency
,how does it work with medical emergency,how does it work with medical emergency,medical_emergency
,do i need to get approval for an emergency?,do i need to get approval for an emergency?,medical_emergency
,Do I need to call the insurance department if I am having a medical emergency?,Do I need to call the insurance department if I am having a medical emergency?,medical_emergency
,I have an emergency...,I have an emergency...,medical_emergency
,should I let you know when I have a medical emergency?,should I let you know when I have a medical emergency?,medical_emergency
,I need to go to ER what is my coverage,I need to go to ER what is my coverage,medical_emergency
,do i need to get approval for an MASKING_PROCEDURE_NAME_1?,do i need to get approval for an MASKING_PROCEDURE_NAME_1?,medical_emergency
,I'm having MASKING_PROCEDURE_NAME_1. Can I go to MASKING_PROCEDURE_NAME_2?,I'm having MASKING_PROCEDURE_NAME_1. Can I go to MASKING_PROCEDURE_NAME_2?,medical_emergency
,no thanks,no thanks,no
,"sorry, no","sorry, no",no
,n,n,no
,don't want,don't want,no
,not,not,no
,no,no,no
,nothing,nothing,no
,nop,nop,no
,"No, that's it","No, that's it",no
,yep,yep,yes
,okay,okay,yes
,sure,sure,yes
,y,y,yes
,ok,ok,yes
,k,k,yes
,yup,yup,yes
,yes,yes,yes
